kERF,,,,
User specified data type,,Error message,Loss of precision,More detail
network input data type,network  output data type,"input: {0.0f, 0.5f, 1.0f, 1.5f, 2.0f}
期望输出：output:{0 / 0.5205 / 0.842701 / 0.966105 / 0.995322}",,
kFLOAT,kFLOAT,,mse=0.0,output:{0 / 0.5205 / 0.842701 / 0.966105 / 0.995322}
kFLOAT,kHALF,,mse=1.778e-08,output:{0 / 0.520508 / 0.842773 / 0.966309 / 0.995117}
kFLOAT,kINT8,,mse=0.72951559602,output:{0 / 1 / 2 / 2 / 2}
kFLOAT,kINT32,,mse=0.5810179960199999,output:{0 / 0 / 0 / 0 / 0}
kFLOAT,kBOOL,,mse=0.051166796019999995,output:{0 / 1 / 1 / 1 / 1}
network input data type,network  output data type,"input: {0.0f, 0.5f, 1.0f, 1.5f, 2.0f}
期望输出：output:{0 / 0.5205 / 0.842701 / 0.966105 / 0.995322}",,
kHALF,kFLOAT,,mse=1.778e-08,output:{0 / 0.520508 / 0.842773 / 0.966309 / 0.995117}
kHALF,kHALF,,mse=1.778e-08,output:{0 / 0.520508 / 0.842773 / 0.966309 / 0.995117}
kHALF,kINT8,,mse=0.72951559602,output:{0 / 1 / 2 / 2 / 2}
kHALF,kINT32,,mse=0.5810179960199999,output:{0 / 0 / 0 / 0 / 0}
kHALF,kBOOL,,mse=0.051166796019999995,output:{0 / 1 / 1 / 1 / 1}
network input data type,network  output data type,"input: {1, 2, 3, 4, 5}
期望输出：output:{0.842701 / 0.995322 / 0.999978 / 1 / 1}",,
kINT8,kFLOAT,,mse=0.025018346419999997,output:{0.523926 / 0.845703 / 0.967285 / 0.995605 / 0.999512}
kINT8,kHALF,,mse=0.025018346419999997,output:{0.523926 / 0.845703 / 0.967285 / 0.995605 / 0.999512}
kINT8,kINT8,,mse=0.8068329719199999,output:{1 / 2 / 2 / 2 / 2}
kINT8,kINT32,,mse=0.9401533719199999,output:{0 / 0 / 0 / 0 / 0}
kINT8,kBOOL,[E] [TRT] ../builder/cudnnBuilder2.cpp (1917) - Assertion Error in makePaddedScale: 0 (regionRanges != nullptr),,
network input data type,network  output data type,"input: {1, 2, 3, 4, 5}
期望输出：output:{0.842701 / 0.995322 / 0.999978 / 1 / 1}",,
kINT32,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [Unary]: operation ERF not allowed on type Int32,,
kINT32,kHALF,,,
kINT32,kINT8,,,
kINT32,kINT32,,,
kINT32,kBOOL,,,
network input data type,network  output data type,"input: {true. false, true, false, true}
期望输出: ?",,
kBOOL,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [Unary]: operation ERF not allowed on type Bool,,
kBOOL,kHALF,,,
kBOOL,kINT8,,,
kBOOL,kINT32,,,
kBOOL,kBOOL,,,
